Shape,Card Address,Card Shape Number,Title,Number,State
River,1.1.1.1,R11,Kneesage Renewal,206425,Washington
River,1.1.1.3,R13,Nyholm Images,253360,Washington
River,1.1.2.1,R21,Wilshire,564,Washington
River,1.1.2.2,R22,Wholesome Pact Relief,503971458,Oregon
River,1.1.3.1,R31,Already,541,Oregon
River,1.1.3.2,R32,Lisp,509,Washington
River,1.1.3.3,R33,Unsafe Peevish,208986,Idaho
River,1.1.4.1,R41,Horseshoe,565,Montana
River,1.1.4.2,R42,Cost,701,North Dakota
River,1.1.4.3,R43,Chisel,605,South Dakota
River,1.1.4.4,R44,Massive,308,Nebraska
Mesa,1.2.1.1,M11,Gavel Mouthwash Agency,785316620,Kansas
Mesa,1.2.1.4,M14,Goodbye,719,Colorado
Mesa,1.2.2.1,M21,Museum Gains Popham,303720983,Colorado
Mesa,1.2.2.4,M24,Because,970,Colorado
Mesa,1.2.3.1,M31,Music,307,Wyoming
Mesa,1.2.3.2,M32,Muffle Visit Warmly,385801435,Utah
Mesa,1.2.4.1,M41,Exxon Canal Quickly,702725775,Nevada
Mesa,1.2.4.4,M44,Williams,530,California
Zap,1.3.1.1,Z11,Foaming Kneecap,837279,California
Zap,1.3.1.3,Z13,Potash Matchup,916369,California
Zap,1.3.2.1,Z21,Causing (Cousin),707,California
Zap,1.3.2.2,Z22,Retail Geneva Shells,415628650,California
Zap,1.3.3.1,Z31,Married Holds Panel,341510925,California
Zap,1.3.3.4,Z34,Receive,408,California
Zap,1.3.4.1,Z41,JJB,669,California
Zap,1.3.4.2,Z42,Unzip Miles Famed,209305831,California
Nose,1.4.1.1,N11,Milk Lullaby,357559,California
Nose,1.4.1.3,N13,Judged Vessel,661805,California
Nose,1.4.2.1,N21,Venice Growing,820747,California
Nose,1.4.2.3,N23,Votava Anatomy,818213,California
Nose,1.4.3.1,N31,Ammonium Meets,323310,California
Nose,1.4.3.3,N33,Warner Change,424626,California
Nose,1.4.4.1,N41,Lotion Probe,562949,California
Nose,1.4.4.3,N43,Chilling Ecuador,657714,California
Steps,1.5.1.1,S11,Build,951,California
Steps,1.5.1.2,S12,Force Busboy Rerun,840909442,California
Steps,1.5.2.1,S21,Cautious Washtub,760619,California
Steps,1.5.2.3,S23,Volvo,858,California
Steps,1.5.2.4,S24,Bonavia Revs,928480,Arizona
Steps,1.5.3.2,S32,Chosen Genome Loans,602623520,Arizona
Steps,1.5.4.1,S41,Wholesale Likely,505575,Arizona
Steps,1.5.4.3,S43,Battle Remain,915432,Texas
Tulip,1.6.1.1,T11,Bullish Matched Units,956361210,Texas
