WKT,name
"LINESTRING (-122.3244 47.6211, -122.1535 47.5951)",Seattle
"LINESTRING (-122.1535 47.5951, -122.4531 47.2431)",Bellevue
"LINESTRING (-122.4531 47.2431, -122.5967 45.6366)",Tacoma
"LINESTRING (-122.5967 45.6366, -122.65 45.5371)",Vancouver
"LINESTRING (-122.65 45.5371, -123.1174 44.0564)",Portland
"LINESTRING (-123.1174 44.0564, -117.433 47.6671)",Eugene
"LINESTRING (-117.433 47.6671, -116.3977 43.6116)",Spokane
"LINESTRING (-116.3977 43.6116, -108.5526 45.7891)",Meridian
"LINESTRING (-108.5526 45.7891, -96.8292 46.8651)",Billings
"LINESTRING (-96.8292 46.8651, -96.7311 43.5396)",Fargo
"LINESTRING (-96.7311 43.5396, -98.3586 40.9218)",Sioux Falls
"LINESTRING (-104.7902 41.135, -105.0656 40.5477)",Cheyenne
"LINESTRING (-105.0656 40.5477, -104.8758 39.762)",Fort Collins
"LINESTRING (-104.7902 41.135, -111.9311 40.7776)",Grand Island
"LINESTRING (-122.4449 37.7558, -122.4685 37.6862)",San Francisco
"LINESTRING (-122.4685 37.6862, -122.2166 37.7904)",Daly City
"LINESTRING (-122.2166 37.7904, -122.0016 37.9722)",Oakland
"LINESTRING (-122.0016 37.9722, -121.848 37.3012)",Concord
"LINESTRING (-122.4449 37.7558, -122.7067 38.4458)",San Jose
"LINESTRING (-121.4685 38.5677, -121.8161 39.7578)",Santa Rosa
"LINESTRING (-121.8161 39.7578, -119.8483 39.5497)",Chico
"LINESTRING (-113.5752 37.0758, -111.9311 40.7776)",Reno
"LINESTRING (-104.8758 39.762, -104.7605 38.8674)",Denver
"LINESTRING (-122.7067 38.4458, -121.4685 38.5677)",Stockton
"LINESTRING (-104.7605 38.8674, -97.9081 38.0671)",Sacramento
"LINESTRING (-97.9081 38.0671, -97.3443 37.6895)",Hutchinson
"LINESTRING (-95.6955 39.0346, -98.3586 40.9218)",Wichita
"LINESTRING (-93.2678 44.9635, -93.3505 45.1112)",Minneapolis
"LINESTRING (-93.1039 44.9478, -93.2678 44.9635)",St. Paul
"LINESTRING (-93.1039 44.9478, -93.252 44.6774)",Brooklyn Park
"LINESTRING (-93.252 44.6774, -93.1997 43.1487)",Lakeville
"LINESTRING (-92.478 44.0154, -93.1997 43.1487)",Rochester
"LINESTRING (-92.478 44.0154, -91.4948 44.8197)",Mason City
"LINESTRING (-91.4948 44.8197, -87.4082 46.544)",Eau Claire
"LINESTRING (-89.393 43.0822, -88.324 42.0383)",Madison
"LINESTRING (-88.324 42.0383, -88.2902 41.7638)",Elgin
"LINESTRING (-90.6053 41.5565, -91.6783 41.9662)",Aurora
"LINESTRING (-91.6783 41.9662, -93.6105 41.5725)",Cedar Rapids
"LINESTRING (-97.3443 37.6895, -95.6955 39.0346)",Overland Park
"LINESTRING (-94.687 38.887, -94.5541 39.1238)",Topeka
"LINESTRING (-93.234 38.7059, -92.3268 38.9472)",Sedalia
"LINESTRING (-93.234 38.7059, -94.5541 39.1238)",Columbia
"LINESTRING (-93.6105 41.5725, -96.0529 41.2627)",Des Moines
"LINESTRING (-96.0529 41.2627, -96.3901 42.4959)",Omaha
"LINESTRING (-96.3901 42.4959, -94.1718 45.534)",Sioux City
"LINESTRING (-94.1718 45.534, -92.1393 46.7756)",St. Cloud
"LINESTRING (-90.6053 41.5565, -89.6154 40.752)",Davenport
"LINESTRING (-88.2902 41.7638, -88.1499 41.5188)",Peoria
"LINESTRING (-89.654 39.7709, -89.99 38.5164)",Joliet
"LINESTRING (-89.99 38.5164, -90.2451 38.6359)",Belleville
"LINESTRING (-90.2451 38.6359, -90.7175 38.785)",St. Louis
"LINESTRING (-89.6154 40.752, -89.654 39.7709)",O'Fallon
"LINESTRING (-90.7175 38.785, -92.3268 38.9472)",Springfield
"LINESTRING (-92.1393 46.7756, -93.3505 45.1112)",Duluth
"LINESTRING (-114.5491 32.5995, -117.1222 32.8313)",Yuma
"LINESTRING (-117.8574 33.839, -117.7738 33.6772)",San Diego
"LINESTRING (-117.7738 33.6772, -118.167 33.7977)",Irvine
"LINESTRING (-117.1222 32.8313, -117.3083 33.2247)",Long Beach
"LINESTRING (-117.3083 33.2247, -117.2943 34.1416)",Oceanside
"LINESTRING (-112.0892 33.5722, -110.8787 32.1541)",Phoenix
"LINESTRING (-106.43 31.8476, -106.7893 32.3265)",Tucson
"LINESTRING (-106.43 31.8476, -102.1147 32.0243)",Las Cruces
"LINESTRING (-98.4202 34.6175, -101.8879 33.5657)",Midland
"LINESTRING (-101.8879 33.5657, -99.7384 32.4543)",Lubbock
"LINESTRING (-98.1148 29.6994, -98.5238 29.4632)",Abilene
"LINESTRING (-97.3767 27.7254, -99.4874 27.5625)",San Antonio
"LINESTRING (-99.4874 27.5625, -102.1147 32.0243)",Laredo
"LINESTRING (-118.167 33.7977, -118.139 34.1597)",El Paso
"LINESTRING (-118.139 34.1597, -118.3416 33.8346)",Pasadena
"LINESTRING (-118.4068 34.1141, -118.4362 34.2886)",Los Angeles
"LINESTRING (-118.4068 34.1141, -118.3416 33.8346)",San Fernando
"LINESTRING (-118.4362 34.2886, -119.1815 34.1964)",Torrance
"LINESTRING (-119.1815 34.1964, -119.0359 35.3529)",Oxnard
"LINESTRING (-119.0359 35.3529, -119.7939 36.783)",Bakersfield
"LINESTRING (-119.7939 36.783, -121.6317 36.6883)",Fresno
"LINESTRING (-119.8483 39.5497, -115.2654 36.2333)",Las Vegas
"LINESTRING (-114.5491 32.5995, -112.0892 33.5722)",St. George
"LINESTRING (-117.2943 34.1416, -117.3949 33.9381)",San Bernardino
"LINESTRING (-117.3949 33.9381, -117.8574 33.839)",Riverside
"LINESTRING (-110.8787 32.1541, -106.6465 35.1054)",Anaheim
"LINESTRING (-106.6465 35.1054, -106.7893 32.3265)",Albuquerque
"LINESTRING (-98.4202 34.6175, -97.5136 35.4676)",Lawton
"LINESTRING (-97.5136 35.4676, -95.9042 36.1283)",Oklahoma City
"LINESTRING (-95.9042 36.1283, -94.3695 35.3495)",Tulsa
"LINESTRING (-94.3695 35.3495, -97.1418 33.2175)",Fort Smith
"LINESTRING (-97.1418 33.2175, -97.3474 32.7817)",Denton
"LINESTRING (-97.3474 32.7817, -96.7667 32.7935)",Fort Worth
"LINESTRING (-96.7667 32.7935, -95.3062 32.3184)",Dallas
"LINESTRING (-94.687 38.887, -93.2916 37.1943)",Tyler
"LINESTRING (-93.2916 37.1943, -90.6791 35.8212)",Springfield
