area_code,state,main_city,country,overlay_complex,time_zone
201,New Jersey,Jersey City,USA,201/551,E
202,District of Columbia,Washington,USA,202/771,E
203,Connecticut,Bridgeport,USA,203/475,E
204,Manitoba,Winnipeg,Canada,204/431/584,C
205,Alabama,Birmingham,USA,205/659,C
206,Washington,Seattle,USA,,P
207,Maine,Portland,USA,,E
208,Idaho,Meridian,USA,208/986,"M,P"
209,California,Stockton,USA,209/350,P
210,Texas,San Antonio,USA,210/726,C
212,New York,New York,USA,212/646/917/332,E
213,California,Los Angeles,USA,323/213,P
214,Texas,Dallas,USA,214/972/469/945,C
215,Pennsylvania,Philadelphia,USA,215/267/445,E
216,Ohio,Cleveland,USA,,E
217,Illinois,Springfield,USA,217/447,C
218,Minnesota,Duluth,USA,,C
219,Indiana,Hammond,USA,,"E,C"
220,Ohio,Newark,USA,740/220,E
223,Pennsylvania,Lancaster,USA,717/223,E
224,Illinois,Elgin,USA,847/224,C
225,Louisiana,Baton Rouge,USA,,C
226,Ontario,London,Canada,519/226/548/382,E
227,Maryland,Germantown,USA,301/240/227,E
228,Mississippi,Gulfport,USA,,C
229,Georgia,Albany,USA,,E
231,Michigan,Muskegon,USA,,E
234,Ohio,Akron,USA,330/234,E
235,Missouri,Columbia,USA,573/235,C
236,British Columbia,Kelowna,Canada,"250/778/236/672, 604/778/236/672",P
239,Florida,Cape Coral,USA,,E
240,Maryland,Germantown,USA,301/240/227,E
242,Bahamas,Nassau,Bahamas,,E
246,Barbados,Bridgetown,Barbados,,AST
248,Michigan,Troy,USA,248/947,E
249,Ontario,Sudbury,Canada,705/249/683,E
250,British Columbia,Kelowna,Canada,250/778/236/672,P
251,Alabama,Mobile,USA,,C
252,North Carolina,Greenville,USA,,E
253,Washington,Tacoma,USA,,P
254,Texas,Killeen,USA,,C
256,Alabama,Huntsville,USA,256/938,C
260,Indiana,Fort Wayne,USA,,E
262,Wisconsin,Kenosha,USA,,C
263,Quebec,Montreal,Canada,514/438/263,E
264,Anguilla,North Side,Anguilla,,AST
267,Pennsylvania,Philadelphia,USA,215/267/445,E
268,Antigua and Barbuda,Saint John's,Antigua and Barbuda,,AST
269,Michigan,Kalamazoo,USA,,E
270,Kentucky,Bowling Green,USA,270/364,"E,C"
272,Pennsylvania,Scranton,USA,570/272,E
274,Wisconsin,Green Bay,USA,920/274,C
276,Virginia,Bristol,USA,,E
279,California,Sacramento,USA,916/279,P
281,Texas,Houston,USA,713/281/832/346/621,C
283,Ohio,Cincinnati,USA,513/283,E
284,British Virgin Islands,Tortola,British Virgin Islands,,AST
289,Ontario,Mississauga,Canada,905/289/365/742,P
301,Maryland,Germantown,USA,301/240/227,E
302,Delaware,Wilmington,USA,,E
303,Colorado,Denver,USA,303/720/983,M
304,West Virginia,Charleston,USA,304/681,E
305,Florida,Miami,USA,305/786/645,E
306,Saskatchewan,Saskatoon,Canada,306/639/474,CST
307,Wyoming,Cheyenne,USA,,M
308,Nebraska,Grand Island,USA,,"C,M"
309,Illinois,Peoria,USA,309/861,C
310,California,Torrance,USA,310/424,P
312,Illinois,Chicago,USA,312/872,C
313,Michigan,Detroit,USA,,E
314,Missouri,St. Louis,USA,314/557,C
315,New York,Syracuse,USA,315/680,E
316,Kansas,Wichita,USA,,C
317,Indiana,Indianapolis,USA,317/463,E
318,Louisiana,Shreveport,USA,,C
319,Iowa,Cedar Rapids,USA,,C
320,Minnesota,St. Cloud,USA,,C
321,Florida,Orlando,USA,"407/321/689,321",E
323,California,Los Angeles,USA,323/213,P
324,Florida,Jacksonville,USA,904/324,E
325,Texas,Abilene,USA,,C
326,Ohio,Dayton,USA,937/326,E
327,Arkansas,Jonesboro,USA,870/327,C
329,New York,New City,USA,845/329,E
330,Ohio,Akron,USA,330/234,E
331,Illinois,Aurora,USA,630/331,C
332,New York,New York,USA,212/646/917/332,E
334,Alabama,Montgomery,USA,,C
336,North Carolina,Greensboro,USA,336/743,E
337,Louisiana,Lafayette,USA,,C
339,Massachusetts,Lynn,USA,781/339,E
340,US Virgin Islands,Charlotte Amalie,US Virgin Islands,,AST
341,California,Oakland,USA,510/341,P
343,Ontario,Ottawa,Canada,613/343/753,E
345,Cayman Islands,George Town,Cayman Islands,,EST
346,Texas,Houston,USA,713/281/832/346/621,C
347,New York,New York,USA,718/347/917/929,E
350,California,Stockton,USA,209/350,P
351,Massachusetts,Lowell,USA,978/351,E
