WKT,name
"POINT (-114.5491 32.5995)",Yuma city
"POINT (-117.1222 32.8313)",San Diego city
"POINT (-110.8787 32.1541)",Tucson city
"POINT (-117.7738 33.6772)",Irvine city
"POINT (-118.167 33.7977)",Long Beach city
"POINT (-117.3083 33.2247)",Oceanside city
"POINT (-112.0892 33.5722)",Phoenix city
"POINT (-106.43 31.8476)",El Paso city
"POINT (-102.1147 32.0243)",Midland city
"POINT (-99.4874 27.5625)",Laredo city
"POINT (-98.5238 29.4632)",San Antonio city
"POINT (-106.7893 32.3265)",Las Cruces city
"POINT (-99.7384 32.4543)",Abilene city
"POINT (-101.8879 33.5657)",Lubbock city
"POINT (-118.4068 34.1141)",Los Angeles city
"POINT (-119.1815 34.1964)",Oxnard city
"POINT (-118.3416 33.8346)",Torrance city
"POINT (-118.139 34.1597)",Pasadena city
"POINT (-118.4362 34.2886)",San Fernando city
"POINT (-119.0359 35.3529)",Bakersfield city
"POINT (-117.8574 33.839)",Anaheim city
"POINT (-117.3949 33.9381)",Riverside city
"POINT (-117.2943 34.1416)",San Bernardino city
"POINT (-98.4202 34.6175)",Lawton city
"POINT (-106.6465 35.1054)",Albuquerque city
"POINT (-97.3767 27.7254)",Corpus Christi city
"POINT (-98.1148 29.6994)",New Braunfels city
"POINT (-95.3885 29.786)",Houston city
"POINT (-97.7522 30.3005)",Austin city
"POINT (-97.7297 31.0753)",Killeen city
"POINT (-95.4824 30.3238)",Conroe city
"POINT (-96.2959 30.5852)",College Station city
"POINT (-94.1451 30.0849)",Beaumont city
"POINT (-90.7059 29.58)",Houma city
"POINT (-89.9288 30.0687)",New Orleans city
"POINT (-92.0325 30.2082)",Lafayette city
"POINT (-91.1311 30.442)",Baton Rouge city
"POINT (-89.0704 30.4274)",Gulfport city
"POINT (-88.1162 30.6782)",Mobile city
"POINT (-97.3474 32.7817)",Fort Worth city
"POINT (-97.1418 33.2175)",Denton city
"POINT (-95.3062 32.3184)",Tyler city
"POINT (-96.7667 32.7935)",Dallas city
"POINT (-97.5136 35.4676)",Oklahoma City city
"POINT (-94.3695 35.3495)",Fort Smith city
"POINT (-95.9042 36.1283)",Tulsa city
"POINT (-93.7955 32.4653)",Shreveport city
"POINT (-92.3577 34.7256)",Little Rock city
"POINT (-90.2125 32.3157)",Jackson city
"POINT (-89.9786 34.9514)",Southaven city
"POINT (-90.6791 35.8212)",Jonesboro city
"POINT (-93.2916 37.1943)",Springfield city
"POINT (-89.9663 35.1087)",Memphis city
"POINT (-88.8354 35.6538)",Jackson city
"POINT (-97.3443 37.6895)",Wichita city
"POINT (-97.9081 38.0671)",Hutchinson city
"POINT (-123.1174 44.0564)",Eugene city
"POINT (-122.65 45.5371)",Portland city
"POINT (-122.5967 45.6366)",Vancouver city
"POINT (-122.4531 47.2431)",Tacoma city
"POINT (-122.3244 47.6211)",Seattle city
"POINT (-122.1535 47.5951)",Bellevue city
"POINT (-117.433 47.6671)",Spokane city
"POINT (-98.3586 40.9218)",Grand Island city
"POINT (-116.3977 43.6116)",Meridian city
"POINT (-108.5526 45.7891)",Billings city
"POINT (-96.7311 43.5396)",Sioux Falls city
"POINT (-96.8292 46.8651)",Fargo city
"POINT (-94.687 38.887)",Overland Park city
"POINT (-95.6955 39.0346)",Topeka city
"POINT (-93.234 38.7059)",Sedalia city
"POINT (-92.3268 38.9472)",Columbia city
"POINT (-96.0529 41.2627)",Omaha city
"POINT (-94.5541 39.1238)",Kansas City city
"POINT (-93.6105 41.5725)",Des Moines city
"POINT (-90.2451 38.6359)",St. Louis city
"POINT (-90.7175 38.785)",O'Fallon city
"POINT (-89.99 38.5164)",Belleville city
"POINT (-89.654 39.7709)",Springfield city
"POINT (-89.6154 40.752)",Peoria city
"POINT (-90.6053 41.5565)",Davenport city
"POINT (-88.1499 41.5188)",Joliet city
"POINT (-96.3901 42.4959)",Sioux City city
"POINT (-93.1997 43.1487)",Mason City city
"POINT (-93.252 44.6774)",Lakeville city
"POINT (-93.3505 45.1112)",Brooklyn Park city
"POINT (-94.1718 45.534)",St. Cloud city
"POINT (-93.1039 44.9478)",St. Paul city
"POINT (-93.2678 44.9635)",Minneapolis city
"POINT (-91.6783 41.9662)",Cedar Rapids city
"POINT (-88.2902 41.7638)",Aurora city
"POINT (-88.324 42.0383)",Elgin city
"POINT (-92.478 44.0154)",Rochester city
"POINT (-92.1393 46.7756)",Duluth city
"POINT (-89.393 43.0822)",Madison city
"POINT (-91.4948 44.8197)",Eau Claire city
"POINT (-86.2668 32.3482)",Montgomery city
"POINT (-86.7971 33.5279)",Birmingham city
"POINT (-84.2527 30.4551)",Tallahassee city
"POINT (-84.1762 31.5776)",Albany city
"POINT (-86.6412 34.6981)",Huntsville city
"POINT (-85.2481 35.066)",Chattanooga city
"POINT (-84.422 33.7628)",Atlanta city
"POINT (-84.3513 34.0391)",Roswell city
"POINT (-82.6652 27.7931)",St. Petersburg city
"POINT (-82.4447 27.9945)",Tampa city
"POINT (-82.1977 27.0576)",North Port city
"POINT (-82.3459 29.6804)",Gainesville city
"POINT (-83.6974 32.8065)",Macon city
"POINT (-82.0708 33.3645)",Augusta city
"POINT (-82.3646 34.8354)",Greenville city
"POINT (-87.3413 36.5692)",Clarksville city
"POINT (-86.7842 36.1715)",Nashville city
"POINT (-86.4378 36.9716)",Bowling Green city
"POINT (-87.5341 37.9881)",Evansville city
"POINT (-86.1458 39.7771)",Indianapolis city
"POINT (-85.6485 38.1663)",Louisville city
"POINT (-84.506 39.1413)",Cincinnati city
"POINT (-83.9496 35.9692)",Knoxville city
"POINT (-82.5537 35.5707)",Asheville city
"POINT (-82.1604 36.6181)",Bristol city
"POINT (-84.4587 38.0423)",Lexington city
"POINT (-84.2003 39.7805)",Dayton city
"POINT (-82.6448 38.4592)",Ashland city
"POINT (-82.9855 39.9862)",Columbus city
"POINT (-81.9957 26.6443)",Cape Coral city
"POINT (-81.9545 28.0557)",Lakeland city
"POINT (-81.337 28.4773)",Orlando city
"POINT (-81.2137 28.905)",Deltona city
"POINT (-81.6749 30.3322)",Jacksonville city
"POINT (-81.1821 32.0286)",Savannah city
"POINT (-80.9036 34.0378)",Columbia city
"POINT (-80.2101 25.784)",Miami city
"POINT (-80.3884 27.2796)",Port St. Lucie city
"POINT (-80.1464 26.1412)",Fort Lauderdale city
"POINT (-80.132 26.7469)",West Palm Beach city
"POINT (-79.9687 32.8168)",Charleston city
"POINT (-80.8303 35.2083)",Charlotte city
"POINT (-78.9772 35.085)",Fayetteville city
"POINT (-79.8271 36.0956)",Greensboro city
"POINT (-79.9581 37.2785)",Roanoke city
"POINT (-77.376 35.5943)",Greenville city
"POINT (-78.6429 35.8324)",Raleigh city
"POINT (-79.1909 37.4003)",Lynchburg city
"POINT (-81.6322 38.3484)",Charleston city
"POINT (-77.4756 37.5295)",Richmond city
"POINT (-77.2643 39.1755)",Germantown city
"POINT (-77.1011 38.8786)",Arlington city
"POINT (-77.0163 38.9047)",Washington city
"POINT (-76.0435 36.7335)",Virginia Beach city
"POINT (-76.6144 39.3051)",Baltimore city
"POINT (-75.5416 39.7415)",Wilmington city
"POINT (-75.1073 39.9361)",Camden city
"POINT (-74.1654 39.9895)",Toms River city
"POINT (-86.8593 40.3991)",Lafayette city
"POINT (-87.4909 41.6168)",Hammond city
"POINT (-85.1436 41.0888)",Fort Wayne city
"POINT (-83.5827 41.6638)",Toledo city
"POINT (-87.6866 41.8375)",Chicago city
"POINT (-87.7593 41.8445)",Cicero city
"POINT (-86.2696 41.6767)",South Bend city
"POINT (-82.425 40.0706)",Newark city
"POINT (-81.5219 41.0798)",Akron city
"POINT (-79.9763 40.4397)",Pittsburgh city
"POINT (-80.3458 40.9956)",New Castle city
"POINT (-82.184 41.4409)",Lorain city
"POINT (-81.6805 41.4764)",Cleveland city
"POINT (-80.0733 42.1167)",Erie city
"POINT (-87.8773 42.5865)",Kenosha city
"POINT (-87.9675 43.0642)",Milwaukee city
"POINT (-85.5882 42.2749)",Kalamazoo city
"POINT (-85.6562 42.9619)",Grand Rapids city
"POINT (-87.9895 44.5148)",Green Bay city
"POINT (-87.4082 46.544)",Marquette city
"POINT (-86.2562 43.2281)",Muskegon city
"POINT (-83.731 42.2759)",Ann Arbor city
"POINT (-83.1457 42.5817)",Troy city
"POINT (-83.1024 42.3834)",Detroit city
"POINT (-83.027 42.4934)",Warren city
"POINT (-84.5601 42.7142)",Lansing city
"POINT (-83.9501 43.4199)",Saginaw city
"POINT (-78.8487 42.9018)",Buffalo city
"POINT (-83.6921 43.0236)",Flint city
"POINT (-76.3012 40.042)",Lancaster city
"POINT (-75.1339 40.0077)",Philadelphia city
"POINT (-74.7641 40.2237)",Trenton city
"POINT (-75.4756 40.5961)",Allentown city
"POINT (-75.6649 41.4044)",Scranton city
"POINT (-74.1913 40.6658)",Elizabeth city
"POINT (-74.1725 40.7245)",Newark city
"POINT (-73.9249 40.6943)",New York city
"POINT (-74.0686 40.7184)",Jersey City city
"POINT (-73.6089 40.6629)",Hempstead city
"POINT (-73.2522 40.7839)",Brentwood city
"POINT (-73.8673 40.9466)",Yonkers city
