song_index,area_code,word,state,city,word_address
0,206,kneesage,Washington,Seattle,1.1.1.1
1,425,renewal,Washington,Bellevue,1.1.1.2
2,253,nyholm,Washington,Tacoma,1.1.1.3
3,360,images,Washington,Vancouver,1.1.1.4
4,564,wilshire,Washington,Vancouver,1.1.2.1
5,503,wholesome,Oregon,Portland,1.1.2.2
6,971,pact,Oregon,Portland,1.1.2.3
7,458,relief,Oregon,Eugene,1.1.2.4
8,541,already,Oregon,Eugene,1.1.3.1
9,509,lisp,Washington,Spokane,1.1.3.2
10,208,unsafe,Idaho,Meridian,1.1.3.3
11,986,peevish,Idaho,Meridian,1.1.3.4
12,406,horseshoe,Montana,Billings,1.1.4.1
13,701,cost,North Dakota,Fargo,1.1.4.2
14,605,chisel,South Dakota,Sioux Falls,1.1.4.3
15,308,massive,Nebraska,Grand Island,1.1.4.4
16,785,gavel,Kansas,Topeka,1.2.1.1
17,316,mouthwash,Kansas,Wichita,1.2.1.2
18,620,agency,Kansas,Hutchinson,1.2.1.3
19,719,goodbye,Colorado,Colorado Springs,1.2.1.4
20,303,museum,Colorado,Denver,1.2.2.1
21,720,gains,Colorado,Denver,1.2.2.2
22,983,popham,Colorado,Denver,1.2.2.3
23,970,because,Colorado,Fort Collins,1.2.2.4
24,307,music,Wyoming,Cheyenne,1.2.3.1
25,385,muffle,Utah,Salt Lake City,1.2.3.2
26,801,visit,Utah,Salt Lake City,1.2.3.3
27,435,warmly,Utah,St. George,1.2.3.4
28,702,exxon,Nevada,Las Vegas,1.2.4.1
29,725,canal,Nevada,Las Vegas,1.2.4.2
30,775,quickly,Nevada,Reno,1.2.4.3
31,530,williams,California,Chico,1.2.4.4
32,837,foaming,California,Chico,1.3.1.1
33,279,kneecap,California,Sacramento,1.3.1.2
34,916,potash,California,Sacramento,1.3.1.3
35,369,matchup,California,Santa Rosa,1.3.1.4
36,707,causing,California,Santa Rosa,1.3.2.1
37,415,retail,California,San Francisco,1.3.2.2
38,628,geneva,California,San Francisco,1.3.2.3
39,650,shells,California,Daly City,1.3.2.4
40,341,married,California,Oakland,1.3.3.1
41,510,holds,California,Oakland,1.3.3.2
42,925,panel,California,Concord,1.3.3.3
43,408,receive,California,San Jose,1.3.3.4
44,669,JJB,California,San Jose,1.3.4.1
45,209,unzip,California,Stockton,1.3.4.2
46,350,miles,California,Stockton,1.3.4.3
47,831,famed,California,Salinas,1.3.4.4
48,357,milk,California,Fresno,1.4.1.1
49,559,lullaby,California,Fresno,1.4.1.2
50,661,judged,California,Bakersfield,1.4.1.3
51,805,vessel,California,Oxnard,1.4.1.4
52,820,venice,California,Oxnard,1.4.2.1
53,747,growing,California,San Fernando,1.4.2.2
54,818,votava,California,San Fernando,1.4.2.3
55,213,anatomy,California,Los Angeles,1.4.2.4
56,323,ammonium,California,Los Angeles,1.4.3.1
57,310,meets,California,Torrance,1.4.3.2
58,424,warner,California,Torrance,1.4.3.3
59,626,change,California,Pasadena,1.4.3.4
60,562,lotion,California,Long Beach,1.4.4.1
61,949,probe,California,Irvine,1.4.4.2
62,657,chilling,California,Anaheim,1.4.4.3
63,714,ecuador,California,Anaheim,1.4.4.4
64,951,build,California,Riverside,1.5.1.1
65,840,force,California,San Bernardino,1.5.1.2
66,909,busboy,California,San Bernardino,1.5.1.3
67,442,rerun,California,Oceanside,1.5.1.4
68,760,cautious,California,Oceanside,1.5.2.1
69,619,washtub,California,San Diego,1.5.2.2
70,858,volvo,California,San Diego,1.5.2.3
71,928,bonavia,Arizona,Yuma,1.5.2.4
72,480,revs,Arizona,Phoenix,1.5.3.1
73,602,chosen,Arizona,Phoenix,1.5.3.2
74,623,genome,Arizona,Phoenix,1.5.3.3
75,520,loans,Arizona,Tucson,1.5.3.4
76,505,wholesale,New Mexico,Albuquerque,1.5.4.1
77,575,likely,New Mexico,Las Cruces,1.5.4.2
78,915,battle,Texas,El Paso,1.5.4.3
79,432,remain,Texas,Midland,1.5.4.4
80,956,bullish,Texas,Laredo,1.6.1.1
81,361,matched,Texas,Corpus Christi,1.6.1.2
82,210,units,Texas,San Antonio,1.6.1.3
83,726,coinage,Texas,San Antonio,1.6.1.4
84,830,famous,Texas,New Braunfels,1.6.2.1
85,512,latin,Texas,Austin,1.6.2.2
86,737,coming,Texas,Austin,1.6.2.3
87,254,nailer,Texas,Killeen,1.6.2.4
88,325,mainly,Texas,Abilene,1.6.3.1
89,806,visage,Texas,Lubbock,1.6.3.2
90,580,leaves,Oklahoma,Lawton,1.6.3.3
91,405,russell,Oklahoma,Oklahoma City,1.6.3.4
