state,main_city,lat,lng
Alabama,Birmingham,33.5279,-86.7971
Alabama,Huntsville,34.6981,-86.6412
Alabama,Mobile,30.6782,-88.1162
Alabama,Montgomery,32.3482,-86.2668
Arizona,Phoenix,33.5722,-112.0892
Arizona,Tucson,32.1541,-110.8787
Arizona,Yuma,32.5995,-114.5491
Arkansas,Fort Smith,35.3495,-94.3695
Arkansas,Jonesboro,35.8212,-90.6791
Arkansas,Little Rock,34.7256,-92.3577
California,Anaheim,33.839,-117.8574
California,Bakersfield,35.3529,-119.0359
California,Chico,39.7578,-121.8161
California,Concord,37.9722,-122.0016
California,Daly City,37.6862,-122.4685
California,Fresno,36.783,-119.7939
California,Irvine,33.6772,-117.7738
California,Long Beach,33.7977,-118.167
California,Los Angeles,34.1141,-118.4068
California,Oakland,37.7904,-122.2166
California,Oceanside,33.2247,-117.3083
California,Oxnard,34.1964,-119.1815
California,Pasadena,34.1597,-118.139
California,Riverside,33.9381,-117.3949
California,Sacramento,38.5677,-121.4685
California,Salinas,36.6883,-121.6317
California,San Bernardino,34.1416,-117.2943
California,San Diego,32.8313,-117.1222
California,San Fernando,34.2886,-118.4362
California,San Francisco,37.7558,-122.4449
California,San Jose,37.3012,-121.848
California,Santa Rosa,38.4458,-122.7067
California,Stockton,37.9765,-121.3109
California,Torrance,33.8346,-118.3416
Colorado,Colorado Springs,38.8674,-104.7605
Colorado,Denver,39.762,-104.8758
Colorado,Fort Collins,40.5477,-105.0656
Connecticut,Bridgeport,41.1918,-73.1954
Connecticut,Hartford,41.7661,-72.6834
Delaware,Wilmington,39.7415,-75.5416
District of Columbia,Washington,38.9047,-77.0163
Florida,Cape Coral,26.6443,-81.9957
Florida,Deltona,28.905,-81.2137
Florida,Fort Lauderdale,26.1412,-80.1464
Florida,Gainesville,29.6804,-82.3459
Florida,Jacksonville,30.3322,-81.6749
Florida,Lakeland,28.0557,-81.9545
Florida,Miami,25.784,-80.2101
Florida,North Port,27.0576,-82.1977
Florida,Orlando,28.4773,-81.337
Florida,Port St. Lucie,27.2796,-80.3884
Florida,St. Petersburg,27.7931,-82.6652
Florida,Tallahassee,30.4551,-84.2527
Florida,Tampa,27.9945,-82.4447
Florida,West Palm Beach,26.7469,-80.132
Georgia,Albany,31.5776,-84.1762
Georgia,Atlanta,33.7628,-84.422
Georgia,Augusta,33.3645,-82.0708
Georgia,Macon,32.8065,-83.6974
Georgia,Roswell,34.0391,-84.3513
Georgia,Savannah,32.0286,-81.1821
