WKT,name
"POLYGON ((-123.1174000 33.0280000, -123.1174000 25.7840000, -114.6987500 25.7840000, -114.6987500 33.0280000, -123.1174000 33.0280000))","San Diego"
"POLYGON ((-123.1174000 33.6065938, -123.1174000 33.0280000, -114.6987500 33.0280000, -114.6987500 33.6065938, -123.1174000 33.6065938))","Oceanside"
"POLYGON ((-114.6987500 33.0858500, -114.6987500 25.7840000, -110.9099250 25.7840000, -110.9099250 33.0858500, -114.6987500 33.0858500))","Yuma"
"POLYGON ((-114.6987500 33.6065938, -114.6987500 33.0858500, -110.9099250 33.0858500, -110.9099250 33.6065938, -114.6987500 33.6065938))","Phoenix"
"POLYGON ((-123.1174000 33.8161500, -123.1174000 33.6065938, -118.0577000 33.6065938, -118.0577000 33.8161500, -123.1174000 33.8161500))","Long Beach"
"POLYGON ((-123.1174000 33.8898125, -123.1174000 33.8161500, -118.0577000 33.8161500, -118.0577000 33.8898125, -123.1174000 33.8898125))","Torrance"
"POLYGON ((-118.0577000 33.7581000, -118.0577000 33.6065938, -110.9099250 33.6065938, -110.9099250 33.7581000, -118.0577000 33.7581000))","Irvine"
"POLYGON ((-118.0577000 33.8898125, -118.0577000 33.7581000, -110.9099250 33.7581000, -110.9099250 33.8898125, -118.0577000 33.8898125))","Anaheim"
"POLYGON ((-110.9099250 31.9359500, -110.9099250 25.7840000, -100.5003500 25.7840000, -100.5003500 31.9359500, -110.9099250 31.9359500))","El Paso"
"POLYGON ((-110.9099250 32.0649000, -110.9099250 31.9359500, -100.5003500 31.9359500, -100.5003500 32.0649000, -110.9099250 32.0649000))","Midland"
"POLYGON ((-100.5003500 28.5128500, -100.5003500 25.7840000, -98.3145391 25.7840000, -98.3145391 28.5128500, -100.5003500 28.5128500))","Laredo"
"POLYGON ((-100.5003500 32.0649000, -100.5003500 28.5128500, -98.3145391 28.5128500, -98.3145391 32.0649000, -100.5003500 32.0649000))","San Antonio"
"POLYGON ((-110.9099250 32.2403000, -110.9099250 32.0649000, -105.3085500 32.0649000, -105.3085500 32.2403000, -110.9099250 32.2403000))","Tucson"
"POLYGON ((-110.9099250 33.8898125, -110.9099250 32.2403000, -105.3085500 32.2403000, -105.3085500 33.8898125, -110.9099250 33.8898125))","Las Cruces"
"POLYGON ((-105.3085500 33.0100000, -105.3085500 32.0649000, -98.3145391 32.0649000, -98.3145391 33.0100000, -105.3085500 33.0100000))","Abilene"
"POLYGON ((-105.3085500 33.8898125, -105.3085500 33.0100000, -98.3145391 33.0100000, -98.3145391 33.8898125, -105.3085500 33.8898125))","Lubbock"
"POLYGON ((-123.1174000 34.7746500, -123.1174000 33.8898125, -118.7941500 33.8898125, -118.7941500 34.7746500, -123.1174000 34.7746500))","Oxnard"
"POLYGON ((-123.1174000 35.9001500, -123.1174000 34.7746500, -118.7941500 34.7746500, -118.7941500 35.9001500, -123.1174000 35.9001500))","Bakersfield"
"POLYGON ((-118.7941500 34.2013500, -118.7941500 33.8898125, -118.3351984 33.8898125, -118.3351984 34.2013500, -118.7941500 34.2013500))","Los Angeles"
"POLYGON ((-118.7941500 35.9001500, -118.7941500 34.2013500, -118.3351984 34.2013500, -118.3351984 35.9001500, -118.7941500 35.9001500))","San Fernando"
"POLYGON ((-123.1174000 37.4937000, -123.1174000 35.9001500, -121.7998500 35.9001500, -121.7998500 37.4937000, -123.1174000 37.4937000))","San Jose"
"POLYGON ((-123.1174000 37.7223922, -123.1174000 37.4937000, -121.7998500 37.4937000, -121.7998500 37.7223922, -123.1174000 37.7223922))","Daly City"
"POLYGON ((-121.7998500 36.7356500, -121.7998500 35.9001500, -118.3351984 35.9001500, -118.3351984 36.7356500, -121.7998500 36.7356500))","Salinas"
"POLYGON ((-121.7998500 37.7223922, -121.7998500 36.7356500, -118.3351984 36.7356500, -118.3351984 37.7223922, -121.7998500 37.7223922))","Fresno"
"POLYGON ((-118.3351984 34.0489000, -118.3351984 33.8898125, -117.3687344 33.8898125, -117.3687344 34.0489000, -118.3351984 34.0489000))","Riverside"
"POLYGON ((-118.3351984 34.7225250, -118.3351984 34.0489000, -117.3687344 34.0489000, -117.3687344 34.7225250, -118.3351984 34.7225250))","Pasadena"
"POLYGON ((-117.3687344 34.3795500, -117.3687344 33.8898125, -98.3145391 33.8898125, -98.3145391 34.3795500, -117.3687344 34.3795500))","San Bernardino"
"POLYGON ((-117.3687344 34.7225250, -117.3687344 34.3795500, -98.3145391 34.3795500, -98.3145391 34.7225250, -117.3687344 34.7225250))","Lawton"
"POLYGON ((-118.3351984 36.6545500, -118.3351984 34.7225250, -110.9559500 34.7225250, -110.9559500 36.6545500, -118.3351984 36.6545500))","Las Vegas"
"POLYGON ((-118.3351984 37.7223922, -118.3351984 36.6545500, -110.9559500 36.6545500, -110.9559500 37.7223922, -118.3351984 37.7223922))","St. George"
"POLYGON ((-110.9559500 37.7223922, -110.9559500 34.7225250, -98.3145391 34.7225250, -98.3145391 37.7223922, -110.9559500 37.7223922))","Albuquerque"
"POLYGON ((-98.3145391 28.7124000, -98.3145391 25.7840000, -96.1299500 25.7840000, -96.1299500 28.7124000, -98.3145391 28.7124000))","Corpus Christi"
"POLYGON ((-98.3145391 30.2378250, -98.3145391 28.7124000, -96.1299500 28.7124000, -96.1299500 30.2378250, -98.3145391 30.2378250))","New Braunfels"
"POLYGON ((-96.1299500 29.9354500, -96.1299500 25.7840000, -93.1155000 25.7840000, -93.1155000 29.9354500, -96.1299500 29.9354500))","Houston"
"POLYGON ((-96.1299500 30.2378250, -96.1299500 29.9354500, -93.1155000 29.9354500, -93.1155000 30.2378250, -96.1299500 30.2378250))","Beaumont"
"POLYGON ((-98.3145391 30.6879000, -98.3145391 30.2378250, -96.6173000 30.2378250, -96.6173000 30.6879000, -98.3145391 30.6879000))","Austin"
"POLYGON ((-98.3145391 32.3182273, -98.3145391 30.6879000, -96.6173000 30.6879000, -96.6173000 32.3182273, -98.3145391 32.3182273))","Killeen"
"POLYGON ((-96.6173000 30.4545000, -96.6173000 30.2378250, -93.1155000 30.2378250, -93.1155000 30.4545000, -96.6173000 30.4545000))","Conroe"
"POLYGON ((-96.6173000 32.3182273, -96.6173000 30.4545000, -93.1155000 30.4545000, -93.1155000 32.3182273, -96.6173000 32.3182273))","College Station"
"POLYGON ((-93.1155000 30.2639250, -93.1155000 25.7840000, -90.9806500 25.7840000, -90.9806500 30.2639250, -93.1155000 30.2639250))","Lafayette"
"POLYGON ((-90.9806500 29.8243500, -90.9806500 25.7840000, -87.8008139 25.7840000, -87.8008139 29.8243500, -90.9806500 29.8243500))","Houma"
"POLYGON ((-90.9806500 30.2639250, -90.9806500 29.8243500, -87.8008139 29.8243500, -87.8008139 30.2639250, -90.9806500 30.2639250))","New Orleans"
"POLYGON ((-93.1155000 31.3788500, -93.1155000 30.2639250, -89.6236500 30.2639250, -89.6236500 31.3788500, -93.1155000 31.3788500))","Baton Rouge"
"POLYGON ((-93.1155000 32.3182273, -93.1155000 31.3788500, -89.6236500 31.3788500, -89.6236500 32.3182273, -93.1155000 32.3182273))","Jackson"
"POLYGON ((-89.6236500 30.5528000, -89.6236500 30.2639250, -87.8008139 30.2639250, -87.8008139 30.5528000, -89.6236500 30.5528000))","Gulfport"
"POLYGON ((-89.6236500 32.3182273, -89.6236500 30.5528000, -87.8008139 30.5528000, -87.8008139 32.3182273, -89.6236500 32.3182273))","Mobile"
"POLYGON ((-98.3145391 32.9996000, -98.3145391 32.3182273, -96.8371000 32.3182273, -96.8371000 32.9996000, -98.3145391 32.9996000))","Fort Worth"
"POLYGON ((-98.3145391 35.0039500, -98.3145391 32.9996000, -96.8371000 32.9996000, -96.8371000 35.0039500, -98.3145391 35.0039500))","Denton"
"POLYGON ((-96.8371000 32.5559500, -96.8371000 32.3182273, -94.2592750 32.3182273, -94.2592750 32.5559500, -96.8371000 32.5559500))","Tyler"
"POLYGON ((-96.8371000 35.0039500, -96.8371000 32.5559500, -94.2592750 32.5559500, -94.2592750 35.0039500, -96.8371000 35.0039500))","Dallas"
"POLYGON ((-98.3145391 36.5785500, -98.3145391 35.0039500, -95.9415500 35.0039500, -95.9415500 36.5785500, -98.3145391 36.5785500))","Oklahoma City"
"POLYGON ((-98.3145391 37.7223922, -98.3145391 36.5785500, -95.9415500 36.5785500, -95.9415500 37.7223922, -98.3145391 37.7223922))","Wichita"
