WKT,name
"POLYGON ((-123.1174000 33.4144750, -123.1174000 25.7840000, -115.7009000 25.7840000, -115.7009000 33.4144750, -123.1174000 33.4144750))","Oceanside"
"POINT (-117.3083000 33.2247000)","Oceanside city"
"POLYGON ((-115.7009000 33.4144750, -115.7009000 25.7840000, -108.4327000 25.7840000, -108.4327000 33.4144750, -115.7009000 33.4144750))","Tucson"
"POINT (-110.8787000 32.1541000)","Tucson city"
"POLYGON ((-123.1174000 33.8354372, -123.1174000 33.4144750, -117.9508250 33.4144750, -117.9508250 33.8354372, -123.1174000 33.8354372))","Long Beach"
"POINT (-118.1670000 33.7977000)","Long Beach city"
"POLYGON ((-117.9508250 33.8354372, -117.9508250 33.4144750, -108.4327000 33.4144750, -108.4327000 33.8354372, -117.9508250 33.8354372))","Phoenix"
"POINT (-112.0892000 33.5722000)","Phoenix city"
"POLYGON ((-108.4327000 32.0649000, -108.4327000 25.7840000, -100.5003500 25.7840000, -100.5003500 32.0649000, -108.4327000 32.0649000))","El Paso"
"POINT (-106.4300000 31.8476000)","El Paso city"
"POLYGON ((-100.5003500 32.0649000, -100.5003500 25.7840000, -98.4487277 25.7840000, -98.4487277 32.0649000, -100.5003500 32.0649000))","Laredo"
"POINT (-99.4874000 27.5625000)","Laredo city"
"POLYGON ((-108.4327000 33.8354372, -108.4327000 32.0649000, -98.4487277 32.0649000, -98.4487277 33.8354372, -108.4327000 33.8354372))","Las Cruces"
"POINT (-106.7893000 32.3265000)","Las Cruces city"
"POLYGON ((-123.1174000 35.9001500, -123.1174000 33.8354372, -118.7941500 33.8354372, -118.7941500 35.9001500, -123.1174000 35.9001500))","Bakersfield"
"POINT (-119.0359000 35.3529000)","Bakersfield city"
"POLYGON ((-118.7941500 35.9001500, -118.7941500 33.8354372, -118.2657813 33.8354372, -118.2657813 35.9001500, -118.7941500 35.9001500))","Los Angeles"
"POINT (-118.4068000 34.1141000)","Los Angeles city"
"POLYGON ((-123.1174000 37.6877057, -123.1174000 35.9001500, -121.7998500 35.9001500, -121.7998500 37.6877057, -123.1174000 37.6877057))","Daly City"
"POINT (-122.4685000 37.6862000)","Daly City city"
"POLYGON ((-121.7998500 37.6877057, -121.7998500 35.9001500, -118.2657813 35.9001500, -118.2657813 37.6877057, -121.7998500 37.6877057))","Fresno"
"POINT (-119.7939000 36.7830000)","Fresno city"
"POLYGON ((-118.2657813 34.6482000, -118.2657813 33.8354372, -117.7166500 33.8354372, -117.7166500 34.6482000, -118.2657813 34.6482000))","Anaheim"
"POINT (-117.8574000 33.8390000)","Anaheim city"
"POLYGON ((-117.7166500 34.6482000, -117.7166500 33.8354372, -98.4487277 33.8354372, -98.4487277 34.6482000, -117.7166500 34.6482000))","Riverside"
"POINT (-117.3949000 33.9381000)","Riverside city"
"POLYGON ((-118.2657813 37.6877057, -118.2657813 34.6482000, -110.9559500 34.6482000, -110.9559500 37.6877057, -118.2657813 37.6877057))","Las Vegas"
"POINT (-115.2654000 36.2333000)","Las Vegas city"
"POLYGON ((-110.9559500 37.6877057, -110.9559500 34.6482000, -98.4487277 34.6482000, -98.4487277 37.6877057, -110.9559500 37.6877057))","Albuquerque"
"POINT (-106.6465000 35.1054000)","Albuquerque city"
"POLYGON ((-98.4487277 30.2378250, -98.4487277 25.7840000, -96.1299500 25.7840000, -96.1299500 30.2378250, -98.4487277 30.2378250))","Corpus Christi"
"POINT (-97.3767000 27.7254000)","Corpus Christi city"
"POLYGON ((-96.1299500 30.2378250, -96.1299500 25.7840000, -93.1155000 25.7840000, -93.1155000 30.2378250, -96.1299500 30.2378250))","Beaumont"
"POINT (-94.1451000 30.0849000)","Beaumont city"
"POLYGON ((-98.4487277 32.3165219, -98.4487277 30.2378250, -96.6173000 30.2378250, -96.6173000 32.3165219, -98.4487277 32.3165219))","Austin"
"POINT (-97.7522000 30.3005000)","Austin city"
"POLYGON ((-96.6173000 32.3165219, -96.6173000 30.2378250, -93.1155000 30.2378250, -93.1155000 32.3165219, -96.6173000 32.3165219))","College Station"
"POINT (-96.2959000 30.5852000)","College Station city"
"POLYGON ((-93.1155000 30.2639250, -93.1155000 25.7840000, -87.6894051 25.7840000, -87.6894051 30.2639250, -93.1155000 30.2639250))","Houma"
"POINT (-90.7059000 29.5800000)","Houma city"
"POLYGON ((-93.1155000 32.3165219, -93.1155000 30.2639250, -89.6236500 30.2639250, -89.6236500 32.3165219, -93.1155000 32.3165219))","Baton Rouge"
"POINT (-91.1311000 30.4420000)","Baton Rouge city"
"POLYGON ((-89.6236500 32.3165219, -89.6236500 30.2639250, -87.6894051 30.2639250, -87.6894051 32.3165219, -89.6236500 32.3165219))","Mobile"
"POINT (-88.1162000 30.6782000)","Mobile city"
"POLYGON ((-98.4487277 34.2233500, -98.4487277 32.3165219, -96.8371000 32.3165219, -96.8371000 34.2233500, -98.4487277 34.2233500))","Denton"
"POINT (-97.1418000 33.2175000)","Denton city"
"POLYGON ((-96.8371000 34.2233500, -96.8371000 32.3165219, -94.8259000 32.3165219, -94.8259000 34.2233500, -96.8371000 34.2233500))","Dallas"
"POINT (-96.7667000 32.7935000)","Dallas city"
"POLYGON ((-98.4487277 37.6877057, -98.4487277 34.2233500, -97.1622000 34.2233500, -97.1622000 37.6877057, -98.4487277 37.6877057))","Lawton"
"POINT (-98.4202000 34.6175000)","Lawton city"
"POLYGON ((-97.1622000 37.6877057, -97.1622000 34.2233500, -94.8259000 34.2233500, -94.8259000 37.6877057, -97.1622000 37.6877057))","Tulsa"
"POINT (-95.9042000 36.1283000)","Tulsa city"
"POLYGON ((-94.8259000 35.1253625, -94.8259000 32.3165219, -91.8809000 32.3165219, -91.8809000 35.1253625, -94.8259000 35.1253625))","Little Rock"
"POINT (-92.3577000 34.7256000)","Little Rock city"
"POLYGON ((-91.8809000 35.1253625, -91.8809000 32.3165219, -87.6894051 32.3165219, -87.6894051 35.1253625, -91.8809000 35.1253625))","Southaven"
"POINT (-89.9786000 34.9514000)","Southaven city"
