WKT,name
"POINT (-114.5491000 32.5995000)","Yuma city"
"POINT (-117.1222000 32.8313000)","San Diego city"
"POINT (-110.8787000 32.1541000)","Tucson city"
"POINT (-117.7738000 33.6772000)","Irvine city"
"POINT (-118.1670000 33.7977000)","Long Beach city"
"POINT (-117.3083000 33.2247000)","Oceanside city"
"POINT (-112.0892000 33.5722000)","Phoenix city"
"POINT (-106.4300000 31.8476000)","El Paso city"
"POINT (-102.1147000 32.0243000)","Midland city"
"POINT (-99.4874000 27.5625000)","Laredo city"
"POINT (-98.5238000 29.4632000)","San Antonio city"
"POINT (-106.7893000 32.3265000)","Las Cruces city"
"POINT (-99.7384000 32.4543000)","Abilene city"
"POINT (-101.8879000 33.5657000)","Lubbock city"
"POINT (-118.4068000 34.1141000)","Los Angeles city"
"POINT (-119.1815000 34.1964000)","Oxnard city"
"POINT (-118.3416000 33.8346000)","Torrance city"
"POINT (-118.1390000 34.1597000)","Pasadena city"
"POINT (-121.6317000 36.6883000)","Salinas city"
"POINT (-119.7939000 36.7830000)","Fresno city"
"POINT (-118.4362000 34.2886000)","San Fernando city"
"POINT (-119.0359000 35.3529000)","Bakersfield city"
"POINT (-117.8574000 33.8390000)","Anaheim city"
"POINT (-117.3949000 33.9381000)","Riverside city"
"POINT (-117.2943000 34.1416000)","San Bernardino city"
"POINT (-98.4202000 34.6175000)","Lawton city"
"POINT (-115.2654000 36.2333000)","Las Vegas city"
"POINT (-113.5752000 37.0758000)","St. George city"
"POINT (-106.6465000 35.1054000)","Albuquerque city"
"POINT (-97.3767000 27.7254000)","Corpus Christi city"
"POINT (-98.1148000 29.6994000)","New Braunfels city"
"POINT (-95.3885000 29.7860000)","Houston city"
"POINT (-97.7522000 30.3005000)","Austin city"
"POINT (-97.7297000 31.0753000)","Killeen city"
"POINT (-95.4824000 30.3238000)","Conroe city"
"POINT (-96.2959000 30.5852000)","College Station city"
"POINT (-94.1451000 30.0849000)","Beaumont city"
"POINT (-90.7059000 29.5800000)","Houma city"
"POINT (-89.9288000 30.0687000)","New Orleans city"
"POINT (-92.0325000 30.2082000)","Lafayette city"
"POINT (-91.1311000 30.4420000)","Baton Rouge city"
"POINT (-89.0704000 30.4274000)","Gulfport city"
"POINT (-88.1162000 30.6782000)","Mobile city"
"POINT (-97.3474000 32.7817000)","Fort Worth city"
"POINT (-97.1418000 33.2175000)","Denton city"
"POINT (-95.3062000 32.3184000)","Tyler city"
"POINT (-96.7667000 32.7935000)","Dallas city"
"POINT (-97.5136000 35.4676000)","Oklahoma City city"
"POINT (-94.3695000 35.3495000)","Fort Smith city"
"POINT (-95.9042000 36.1283000)","Tulsa city"
"POINT (-93.7955000 32.4653000)","Shreveport city"
"POINT (-92.3577000 34.7256000)","Little Rock city"
"POINT (-90.2125000 32.3157000)","Jackson city"
"POINT (-89.9786000 34.9514000)","Southaven city"
"POINT (-90.6791000 35.8212000)","Jonesboro city"
"POINT (-93.2916000 37.1943000)","Springfield city"
"POINT (-89.9663000 35.1087000)","Memphis city"
"POINT (-88.8354000 35.6538000)","Jackson city"
"POINT (-122.4685000 37.6862000)","Daly City city"
"POINT (-122.4449000 37.7558000)","San Francisco city"
"POINT (-121.8480000 37.3012000)","San Jose city"
"POINT (-122.2166000 37.7904000)","Oakland city"
"POINT (-122.7067000 38.4458000)","Santa Rosa city"
"POINT (-122.0016000 37.9722000)","Concord city"
"POINT (-121.8161000 39.7578000)","Chico city"
"POINT (-121.3109000 37.9765000)","Stockton city"
"POINT (-121.4685000 38.5677000)","Sacramento city"
"POINT (-97.3443000 37.6895000)","Wichita city"
"POINT (-97.9081000 38.0671000)","Hutchinson city"
"POINT (-119.8483000 39.5497000)","Reno city"
"POINT (-104.7605000 38.8674000)","Colorado Springs city"
"POINT (-104.8758000 39.7620000)","Denver city"
"POINT (-123.1174000 44.0564000)","Eugene city"
"POINT (-122.6500000 45.5371000)","Portland city"
"POINT (-122.5967000 45.6366000)","Vancouver city"
