WKT,name
"POLYGON ((-123.1174000 37.3006656, -123.1174000 25.7840000, -98.3279539 25.7840000, -98.3279539 37.3006656, -123.1174000 37.3006656))","Phoenix"
"POINT (-112.0892000 33.5722000)","Phoenix city"
"POLYGON ((-98.3279539 37.3006656, -98.3279539 25.7840000, -88.0236314 25.7840000, -88.0236314 37.3006656, -98.3279539 37.3006656))","Mobile"
"POINT (-88.1162000 30.6782000)","Mobile city"
"POLYGON ((-123.1174000 47.6671000, -123.1174000 37.3006656, -96.6185914 37.3006656, -96.6185914 47.6671000, -123.1174000 47.6671000))","Chico"
"POINT (-121.8161000 39.7578000)","Chico city"
"POLYGON ((-96.6185914 47.6671000, -96.6185914 37.3006656, -88.0236314 37.3006656, -88.0236314 47.6671000, -96.6185914 47.6671000))","Aurora"
"POINT (-88.2902000 41.7638000)","Aurora city"
"POLYGON ((-88.0236314 39.9956797, -88.0236314 25.7840000, -81.9986227 25.7840000, -81.9986227 39.9956797, -88.0236314 39.9956797))","Birmingham"
"POINT (-86.7971000 33.5279000)","Birmingham city"
"POLYGON ((-81.9986227 39.9956797, -81.9986227 25.7840000, -66.0761000 25.7840000, -66.0761000 39.9956797, -81.9986227 39.9956797))","Wilmington"
"POINT (-75.5416000 39.7415000)","Wilmington city"
"POLYGON ((-88.0236314 47.6671000, -88.0236314 39.9956797, -78.4023875 39.9956797, -78.4023875 47.6671000, -88.0236314 47.6671000))","Chicago"
"POINT (-87.6866000 41.8375000)","Chicago city"
"POLYGON ((-78.4023875 47.6671000, -78.4023875 39.9956797, -66.0761000 39.9956797, -66.0761000 47.6671000, -78.4023875 47.6671000))","Bridgeport"
"POINT (-73.1954000 41.1918000)","Bridgeport city"
