WKT,name
"LINESTRING (-122.3244000 47.6211000, -122.1535000 47.5951000)","Seattle"
"LINESTRING (-122.1535000 47.5951000, -122.4531000 47.2431000)","Bellevue"
"LINESTRING (-122.4531000 47.2431000, -122.5967000 45.6366000)","Tacoma"
"LINESTRING (-122.5967000 45.6366000, -122.6500000 45.5371000)","Vancouver"
"LINESTRING (-122.6500000 45.5371000, -123.1174000 44.0564000)","Portland"
"LINESTRING (-123.1174000 44.0564000, -117.4330000 47.6671000)","Eugene"
"LINESTRING (-117.4330000 47.6671000, -116.3977000 43.6116000)","Spokane"
"LINESTRING (-116.3977000 43.6116000, -108.5526000 45.7891000)","Meridian"
"LINESTRING (-108.5526000 45.7891000, -96.8292000 46.8651000)","Billings"
"LINESTRING (-96.8292000 46.8651000, -96.7311000 43.5396000)","Fargo"
"LINESTRING (-96.7311000 43.5396000, -104.7902000 41.1350000)","Sioux Falls"
"LINESTRING (-104.7902000 41.1350000, -105.0656000 40.5477000)","Cheyenne"
"LINESTRING (-105.0656000 40.5477000, -98.3586000 40.9218000)","Fort Collins"
"LINESTRING (-98.3586000 40.9218000, -111.9311000 40.7776000)","Grand Island"
"LINESTRING (-111.9311000 40.7776000, -122.4449000 37.7558000)","Salt Lake City"
"LINESTRING (-122.4449000 37.7558000, -122.4685000 37.6862000)","San Francisco"
"LINESTRING (-122.4685000 37.6862000, -122.2166000 37.7904000)","Daly City"
"LINESTRING (-122.2166000 37.7904000, -122.0016000 37.9722000)","Oakland"
"LINESTRING (-122.0016000 37.9722000, -121.8480000 37.3012000)","Concord"
"LINESTRING (-121.8480000 37.3012000, -122.7067000 38.4458000)","San Jose"
"LINESTRING (-122.7067000 38.4458000, -121.8161000 39.7578000)","Santa Rosa"
"LINESTRING (-121.8161000 39.7578000, -119.8483000 39.5497000)","Chico"
"LINESTRING (-119.8483000 39.5497000, -104.8758000 39.7620000)","Reno"
"LINESTRING (-104.8758000 39.7620000, -104.7605000 38.8674000)","Denver"
"LINESTRING (-104.7605000 38.8674000, -121.3109000 37.9765000)","Colorado Springs"
"LINESTRING (-121.3109000 37.9765000, -121.4685000 38.5677000)","Stockton"
"LINESTRING (-121.4685000 38.5677000, -97.9081000 38.0671000)","Sacramento"
"LINESTRING (-97.9081000 38.0671000, -97.3443000 37.6895000)","Hutchinson"
"LINESTRING (-97.3443000 37.6895000, -93.2678000 44.9635000)","Wichita"
"LINESTRING (-93.2678000 44.9635000, -93.1039000 44.9478000)","Minneapolis"
"LINESTRING (-93.1039000 44.9478000, -93.3505000 45.1112000)","St. Paul"
"LINESTRING (-93.3505000 45.1112000, -93.2520000 44.6774000)","Brooklyn Park"
"LINESTRING (-93.2520000 44.6774000, -92.4780000 44.0154000)","Lakeville"
"LINESTRING (-92.4780000 44.0154000, -93.1997000 43.1487000)","Rochester"
"LINESTRING (-93.1997000 43.1487000, -91.4948000 44.8197000)","Mason City"
"LINESTRING (-91.4948000 44.8197000, -89.3930000 43.0822000)","Eau Claire"
"LINESTRING (-89.3930000 43.0822000, -88.3240000 42.0383000)","Madison"
"LINESTRING (-88.3240000 42.0383000, -88.2902000 41.7638000)","Elgin"
"LINESTRING (-88.2902000 41.7638000, -91.6783000 41.9662000)","Aurora"
"LINESTRING (-91.6783000 41.9662000, -94.6870000 38.8870000)","Cedar Rapids"
"LINESTRING (-94.6870000 38.8870000, -95.6955000 39.0346000)","Overland Park"
"LINESTRING (-95.6955000 39.0346000, -93.2340000 38.7059000)","Topeka"
"LINESTRING (-93.2340000 38.7059000, -92.3268000 38.9472000)","Sedalia"
"LINESTRING (-92.3268000 38.9472000, -93.6105000 41.5725000)","Columbia"
"LINESTRING (-93.6105000 41.5725000, -96.0529000 41.2627000)","Des Moines"
"LINESTRING (-96.0529000 41.2627000, -96.3901000 42.4959000)","Omaha"
"LINESTRING (-96.3901000 42.4959000, -94.1718000 45.5340000)","Sioux City"
"LINESTRING (-94.1718000 45.5340000, -90.6053000 41.5565000)","St. Cloud"
"LINESTRING (-90.6053000 41.5565000, -89.6154000 40.7520000)","Davenport"
"LINESTRING (-89.6154000 40.7520000, -88.1499000 41.5188000)","Peoria"
"LINESTRING (-88.1499000 41.5188000, -89.9900000 38.5164000)","Joliet"
